Date,Close/Last,Volume,Open,High,Low
18/01/2020,413.72,105729056,503.11,167.03,278.57
21/08/2020,163.67,60063405,516.0,135.25,257.23
13/10/2019,420.33,86879598,499.08,108.83,169.41
08/10/2023,470.36,49873540,330.28,131.24,405.88
11/12/2022,323.46,58392934,353.89,244.92,422.09
26/02/2024,413.07,66382353,506.96,556.55,409.8
26/02/2023,186.83,85327123,259.03,117.56,218.5
27/10/2021,344.52,56090808,487.14,133.53,561.96
01/09/2023,274.76,79849984,215.14,430.34,457.31
17/04/2023,196.25,69311294,362.77,572.72,449.64
20/12/2022,525.93,90335150,535.41,116.12,555.23
03/07/2024,411.43,94921545,334.54,396.92,423.67
13/09/2023,438.32,54039527,524.89,346.68,262.63
07/02/2023,554.38,82902801,184.69,513.91,213.17
21/11/2019,401.81,78701125,511.66,303.54,258.42
14/09/2020,360.66,74391258,220.42,538.78,542.5
30/04/2021,552.66,73332635,336.15,103.2,532.32
05/01/2023,363.89,105633557,358.2,581.36,539.97
25/11/2022,397.63,51354938,244.3,487.25,504.95
20/10/2020,407.19,80712499,131.4,287.12,153.07
15/10/2022,537.47,90059606,362.46,397.49,458.36
19/11/2020,508.04,81685604,353.43,336.33,466.76
25/01/2019,488.2,63971444,295.16,372.12,226.24
17/04/2022,181.52,83357555,113.47,596.29,248.25
28/04/2020,109.65,60407075,555.77,378.41,422.38
12/03/2021,464.62,72896406,451.16,311.27,251.39
27/08/2021,476.33,74148795,465.83,522.77,356.73
16/01/2019,572.3,106225983,335.0,584.96,421.67
18/04/2021,450.02,71646679,504.79,596.69,177.52
30/04/2019,469.76,88984270,530.47,554.94,433.41
08/03/2019,189.15,102739139,262.3,182.07,217.07
09/07/2024,591.36,74533279,400.28,364.22,170.75
27/04/2024,110.41,62153896,285.26,494.58,488.46
14/12/2020,416.82,53047146,189.32,173.8,505.02
08/06/2020,355.26,96503111,553.9,508.56,401.63
24/04/2024,450.28,63952096,394.37,362.97,499.0
09/01/2021,556.62,56488647,153.71,175.31,242.69
25/05/2020,498.2,74114383,255.61,339.45,194.51
23/07/2020,593.28,87977070,301.1,350.22,497.72
21/06/2021,481.75,75827441,340.52,446.45,221.17
08/07/2022,401.49,78727153,297.01,272.08,502.38
11/05/2019,173.2,60882761,518.35,227.35,432.78
23/02/2021,119.19,56597769,259.28,165.08,207.83
